news_id,stock,text,pred_label,confidence,prob_NEG,prob_POS,prob_NEU,sentiment_score
304,VIC,"Phiên 4/1: HAG tạo đáy mới, khối ngoại “xả” VIC trong ngày đầu năm mới Trong ngày đầu năm mới, khối ngoại đã mua ròng tổng cộng hơn 2 triệu cổ phiếu trên toàn thị trường. Tuy vậy, xét về giá trị thì đây là phiên bán ròng nhẹ với khoảng 60 triệu đồng và phần lớn tập trung tại VIC.",NEG,0.98,0.98,0.01,0.01,-0.97
809,HAG,"HAG về dưới mệnh giá, VnIndex mất mốc 570 điểm Thanh khoản trên thị trường tiếp tục ở mức thấp. Tổng giá giá trị giao dịch trên thị trường chỉ đạt khoảng 2.000 tỷ đồng, trong đó, giao dịch thỏa thuận là gần 200 tỷ đồng.",NEG,0.9702,0.9702,0.0161,0.0137,-0.9541
808,HAG,"Khối lượng đặt mua HAG tăng vọt từ khi phục hồi Kết thúc phiên giao dịch hôm nay, HAG đạt 10.900 đồng/cổ phiếu- tăng trần- dư mua trần hơn 280 nghìn đơn vị.",POS,0.991,0.0046,0.991,0.0045,0.9863999999999999
303,VIC,"Phiên 11/1: Khối ngoại “xả hàng”, VIC vẫn tiếp tục tăng điểm Giao dịch khối ngoại trong phiên giao dịch hôm nay không thực sự sôi động, họ vẫn tiếp tục mua ròng trên HNX và bán ròng trên HSX. Tính chung, khối ngoại có phiên bán ròng nhẹ với giá trị 390 triệu đồng.",POS,0.9335,0.0485,0.9335,0.018,0.885
302,VIC,"Phiên 13/1: Khối ngoại mua ròng MSN, tiếp tục “xả hàng” VIC Khối ngoại có phiên bán ròng trên cả 2 sàn giao dịch với giá trị 83 tỷ đồng. Việc khối ngoại vẫn chưa trở lại mua ròng vẫn đang là rào cản cho sự hồi phục của thị trường.",NEG,0.974,0.974,0.0134,0.0126,-0.9606
807,HAG,"HAG lại xuyên thủng đáy cũ: Lòng tham bị trả giá đắt? Cổ phiếu HAG đã liên tiếp giảm 3 phiên vừa qua, về 9.900 đồng chốt phiên giao dịch ngày 15/1. Đến phiên sáng nay, cổ phiếu này đã có lúc giao dịch ở mức giá sàn 9.300 đồng-phá vỡ đáy cũ.",NEG,0.9767,0.9767,0.012,0.0114,-0.9647
301,VIC,"VIC, MSN hồi phục cuối phiên, VnIndex đóng cửa giảm gần 17 điểm Như vậy, sau khi chạm vùng 520 điểm, chỉ số VnIndex đã tạm bật tăng trở lại ngay trong phiên giao dịch dù rằng mức phục hồi là không quá mạnh.",POS,0.9197,0.0548,0.9197,0.0256,0.8649
806,HAG,"HAG “phá đáy”, VnIndex thủng mốc 530 điểm Sau những nỗ lực hồi phục bất thành trong phiên sáng, áp lực bán đã được đẩy mạnh trong phiên giao dịch buổi chiều, đặc biệt tại các Bluechips như VNM, HAG, BVH, GAS, HSG….",NEG,0.9708,0.9708,0.0156,0.0136,-0.9552
805,HAG,"HAG giảm sàn, VnIndex mất tiếp gần 8 điểm HAG hôm nay giảm sàn và cuối phiên có dư bán sàn 417 nghìn cổ phiếu, khối lượng khớp lệnh đạt 12,66 triệu đơn vị.",NEG,0.9803,0.9803,0.0123,0.0074,-0.968
804,HAG,"HAG chỉ còn 7.900 đồng/cổ phiếu, đã mua được chưa? Đã nên mua HAG hay chưa khi mà lần bắt đáy nào cũng khiến nhà đầu tư thua lỗ nặng?",NEG,0.4844,0.4844,0.3066,0.209,-0.1778
803,HAG,"Hội thảo nhận định cổ phiếu HAG Công ty chứng khoán HVS Vietnam, thuộc Tập đoàn HVS Group, Malaysia, sẽ tổ chức buổi hội thảo “Nhận định cổ phiếu HAG” lúc 13h30 ngày 28/01/2016, tại Phòng Hội Nghị Lầu 2, Khách sạn Liberty 4, 265 Phạm Ngũ Lão, Quận 1, TP. HCM.",NEU,0.7461,0.0097,0.2442,0.7461,0.2345
802,HAG,"HAG khớp lệnh kỷ lục, VnIndex bất ngờ đảo chiều tăng điểm với thanh khoản tăng vọt Dòng tiền “bắt đáy” mạnh khi VnIndex giảm về vùng hỗ trợ 515 điểm đã khiến thanh khoản toàn thị trường tăng lên 217 triệu đơn vị, tương ứng giá trị 2.463 tỷ đồng.",POS,0.9875,0.0053,0.9875,0.0072,0.9822000000000001
801,HAG,"Hội thảo nhận định cổ phiếu HAG Công ty chứng khoán HVS Vietnam, thuộc Tập đoàn HVS Group, Malaysia, sẽ tổ chức buổi hội thảo “Nhận định cổ phiếu HAG” lúc 13h30 ngày 28/01/2016, tại Phòng Hội Nghị Lầu 2, Khách sạn Liberty 4, 265 Phạm Ngũ Lão, Quận 1, TP. HCM.",NEU,0.7461,0.0097,0.2442,0.7461,0.2345
